movie_code,company_name
1000615,GG엔터테인먼트
1000616,더 램프
1000617,리필름
1000617,조이앤시네마
1000618,피터팬 픽쳐스
1000619,㈜로드하우스
1000619,꿀잼컴퍼니㈜
1000620,㈜FNC 스토리
1000620,㈜창 픽쳐스
1000621,㈜라온컴퍼니플러스
1000622,굿픽처스
1000622,제이앤씨미디어그룹
1000623,영화사 반딧불
1000624,CJ ENM
1000625,CJ ENM
1000626,골든타이드픽처스
1000626,매니지먼트 구
1000627,CJ ENM
1000628,하이브미디어코프
1000629,콘텐츠웨이브(주)
1000630,㈜아센디오
1000631,㈜박스미디어
1000632,CJ 4DPLEX
1000633,스튜디오드래곤
1000634,아일랜드픽처스㈜
1000635,㈜로드하우스
1000637,(주)넘버쓰리픽쳐스
1000638,㈜도어이앤엠
1000639,㈜콘텐츠지
1000639,㈜라온컴퍼니플러스
1000640,㈜도너츠 컬처
1000640,HK FILM
1000641,㈜그노스
1000641,꿀잼컴퍼니㈜
1000642,시네마미션
1000643,㈜)그노스
1000643,꿀잼컴퍼니㈜
1000644,영화사 인연
1000645,주식회사 영화사 길
1000646,㈜지티지 그룹
1000647,클라이맥스 스튜디오
1000647,SLL
1000648,㈜어나더스타
1000649,(주)모그픽쳐스
1000650,㈜모그픽쳐스
1000651,한류닷컴㈜
1000651,㈜오예스
1000652,㈜코쿤나인
1000653,클라이맥스 스튜디오
1000653,SLL
1000654,㈜어나더스타
1000655,바밍타이거
1000656,비엠미디어
1000657,샌드박스
1000658,무서운영화
1000659,㈜아웃런브라더스픽처스
1000660,더블유스토리
1000660,㈜에너제딕컴퍼니
1000662,꾸러기스튜디오
1000662,㈜엣나인필름
1000663,㈜해오름이앤티
1000664,(주) 블루아이 엔터테인먼트
1000665,골든타이드픽처스
1000666,드림로드
1000667,넥슨코리아 엘소드팀
1000667,KOG 엘소드팀
1000668,㈜뉴버드
1000669,㈜에스비에스미디어넷
1000670,㈜문와쳐
1000670,뉴클루즈
1000670,Jaywalk Studio
1000671,KBS
1000671,스튜디오HIM
1000672,㈜메타월드
1000672,㈜KS콘텐츠
1000673,㈜피터팬픽쳐스
1000674,매니아22
1000675,프로젝트 엔터테인먼트
1000676,시네마서울
1000678,㈜스튜디오 후크
1000679,㈜컨택트미디어
1000680,㈜그노스
1000680,㈜파이브데이
1000680,꿀잼컴퍼니㈜
1000681,(주)아크378
1000681,MBC크리에이티브스튜디오
