movie_code,week,sales,audience,screens
1000103,2,1165412830,144986,5725
1000104,2,3320757800,422784,3126
1000105,2,485332811,48835,3650
1000106,2,1269434076,155170,6140
1000107,2,609048570,63121,5186
1000108,2,3250734240,353878,6184
1000109,2,1005300000,133292,3664
1000110,2,1874529856,190367,7084
1000111,2,1665844800,188753,6057
1000112,2,1028040500,141299,4495
1000113,2,1002597100,128753,2847
1000114,2,650786476,67513,5821
1000115,2,1340394905,168889,4002
1000116,2,548431300,67737,3746
1000117,2,757165600,101930,3106
1000118,2,1918148660,198044,4932
1000119,2,1609109000,201045,3120
1000120,2,388040431,42686,3590
1000121,2,967897020,110763,4487
1000122,2,721582750,88860,2729
1000123,2,1516071150,185432,5300
1000124,2,460467922,50242,4579
1000125,2,890382380,120196,3403
1000126,2,,,
1000127,2,1181643860,115654,7700
1000128,2,1240607900,148991,7311
1000129,2,763862330,80268,4923
1000130,2,720853810,85377,2877
1000131,2,987808690,122748,4923
1000132,2,1170496100,153283,2900
1000133,2,848711840,97712,4532
1000134,2,1071915220,131226,9075
1000135,2,792506705,94985,3017
1000136,2,602538000,85593,2219
1000137,2,353700240,38082,4454
1000138,2,1053583900,130647,4550
1000139,2,312614590,41608,5622
1000140,2,544400960,62170,6122
1000141,2,527870488,56155,
1000142,2,603565349,64993,5047
1000143,2,883127033,100549,3661
1000144,2,878703128,110021,4016
1000145,2,783721700,107684,3534
1000146,2,378187840,40492,2227
1000147,2,1713291235,214023,3520
1000148,2,1778473760,204987,6399
1000149,2,1339744660,166793,5799
1000150,2,865006280,107837,5125
1000151,2,874480200,112469,3986
1000152,2,562468200,79824,4822
1000153,2,991011000,105629,6795
1000154,2,506383030,54893,6444
1000155,2,1029099504,133145,3517
1000156,2,459026300,63160,2898
1000157,2,588835200,78455,3519
1000158,2,673615900,88335,2272
1000159,2,1385057900,167097,4274
1000160,2,564562100,72339,3147
1000161,2,340153889,37054,3210
1000162,2,593708500,77528,2436
1000163,2,902059500,135915,2789
1000164,2,1053391476,130102,3632
1000165,2,1592160800,192319,2769
1000166,2,1566288200,183922,3626
1000167,2,806209900,107663,2777
1000168,2,722343760,89191,5545
1000169,2,300334877,35186,2602
1000170,2,1208458900,160139,3857
1000171,2,706106820,86466,5821
1000172,2,269334163,28562,4488
1000173,2,526716057,55621,4833
1000174,2,497039400,65087,2996
1000175,2,502241400,69328,3291
1000176,2,817411300,110872,5565
1000177,2,2095006200,254670,4228
1000178,2,1025701874,125554,2771
1000179,2,647532120,79110,4559
1000180,2,746989720,94364,5275
1000181,2,1373726440,157371,3847
1000182,2,755820187,92658,3203
