movie_code,distributor_name
1000424,(주)에이스메이커무비웍스
1000425,(주)키다리이엔티
1000426,메가박스중앙(주) 플러스엠 엔터테인먼트
1000426,(주)리틀빅픽쳐스
1000427,(주)넥스트엔터테인먼트월드(NEW)
1000428,메가박스중앙(주) 플러스엠 엔터테인먼트
1000428,(주)레드로버
1000429,메가박스중앙(주) 플러스엠 엔터테인먼트
1000430,(주)이수C&E
1000430,(주)스톰픽쳐스코리아
1000431,(주)넥스트엔터테인먼트월드(NEW)
1000432,(주)씨제이이엔엠
1000433,(주)인벤트스톤
1000434,(주)씨제이이엔엠
1000435,(주)스마일이엔티
1000436,메가박스중앙(주) 플러스엠 엔터테인먼트
1000437,(주)씨제이이엔엠
1000438,TCO(주)더콘텐츠온
1000439,이십세기폭스코리아(주)
1000440,롯데쇼핑㈜롯데엔터테인먼트
1000441,씨지브이 아이스콘
1000442,롯데컬처웍스(주)롯데엔터테인먼트
1000443,메가박스중앙(주) 플러스엠 엔터테인먼트
1000444,(주)리틀빅픽쳐스
1000444,(주)페퍼민트앤컴퍼니
1000445,(주)바이포엠스튜디오
1000446,씨네그루(주)다우기술
1000447,씨제이 씨지브이(CJ CGV)(주)
1000448,(주)아이코닉스
1000449,메가박스중앙(주) 플러스엠 엔터테인먼트
1000450,메가박스중앙(주) 플러스엠 엔터테인먼트
1000451,TCO(주)더콘텐츠온
1000452,(주)제이앤씨미디어그룹
1000452,주식회사 로아앤코홀딩스
1000453,(주)에스에이엠지엔터테인먼트
1000454,씨제이 씨지브이(CJ CGV)(주)
1000455,TCO(주)더콘텐츠온
1000456,(주)제이앤씨미디어그룹
1000457,(주)에이스메이커무비웍스
1000458,롯데컬처웍스(주)롯데엔터테인먼트
1000459,씨제이 씨지브이(CJ CGV)(주)
1000459,(주)씨네필운
1000460,TCO(주)더콘텐츠온
1000461,(주)영화사오원
1000462,(주)리틀빅픽쳐스
1000463,(주)넥스트엔터테인먼트월드(NEW)
1000464,필라멘트픽쳐스
1000465,(주)에스에이엠지엔터테인먼트
1000466,(주)리틀빅픽쳐스
1000467,CGV아트하우스
1000468,(주)제이앤씨미디어그룹
1000469,메가박스중앙(주) 플러스엠 엔터테인먼트
1000470,파이오니아21
1000471,주식회사 왓챠
1000472,(주)리틀빅픽쳐스
1000473,(주)메리크리스마스
1000474,(주)메리크리스마스
1000475,TCO(주)더콘텐츠온
1000475,(주)제이앤씨미디어그룹
1000476,(주)넥스트엔터테인먼트월드(NEW)
1000477,(주)박수엔터테인먼트
1000478,(주)리틀빅픽쳐스
1000478,(주)인벤트스톤
1000479,(주)리틀빅픽쳐스
1000480,(주)아이에이치큐
1000480,(주)영화사 륙
1000480,(주)씨네필운
1000481,(주)스마일이엔티
1000482,씨제이 씨지브이(CJ CGV)(주)
1000482,롯데컬처웍스(주)롯데시네마
1000483,(주)리틀빅픽쳐스
1000484,(주)영화사 빅
1000484,(주)버킷스튜디오
1000485,(주)대명문화공장
1000485,(주)리틀빅픽쳐스
1000486,(주)키다리이엔티
1000487,(주)씨제이이엔엠
1000488,씨제이포디플렉스 주식회사
1000489,힘컨텐츠(주)
1000489,(주)디스테이션
1000490,(주)리틀빅픽쳐스
1000491,씨제이 씨지브이(CJ CGV)(주)
1000492,(주)키다리이엔티
1000493,(주)리틀빅픽쳐스
1000494,(주)리틀빅픽쳐스
1000495,예지림엔터테인먼트
1000496,오퍼스픽쳐스(유)
1000497,(주)제이앤씨미디어그룹
1000497,와이드 릴리즈(주)
1000498,(주)제이앤씨미디어그룹
1000499,(주)디스테이션
1000500,TCO(주)더콘텐츠온
1000500,(주)제이앤씨미디어그룹
1000500,(주)아센디오
1000501,CGV아트하우스
1000502,씨제이 씨지브이(CJ CGV)(주)
1000503,씨지브이 아이스콘
1000504,오퍼스픽쳐스(유)
1000505,(주)키다리이엔티
1000506,(주)쇼박스
1000507,와이드 릴리즈(주)
1000508,롯데컬처웍스(주)롯데엔터테인먼트
1000509,와이드 릴리즈(주)
